Size,Interleaved
7,1.1325396078739765
8,1.2442171331485847
9,1.3068578885679796
10,1.3575667661493873
11,1.4038137086892877
12,1.459479388974988
13,1.5066277461860142
14,1.5527829718330919
15,1.5995483339286525
16,1.6541740989150995
17,1.7031902253398052
18,1.7341551230822927
19,1.7616640882000667
20,1.7838454644211106
21,1.808087944318674
22,1.8366692681520158
23,1.861301023426971
24,1.8911404739996933
25,1.9127727182897147
26,1.938287124022108
27,1.9660976252908484
28,1.9880531276135804
29,2.0132446548786076
30,2.039791727711426
31,2.0638898791419735
32,2.095913250908064
33,2.114617045575694
34,2.1360114968345605
35,2.1551952356638866
36,2.171420694228001
37,2.190229615848572
38,2.208447420701867
39,2.2215663944656505
40,2.234692324922332
41,2.2477943678414793
42,2.262185538855379
43,2.2759598065750613
44,2.286293290035447
45,2.2984315784767735
46,2.3154282372427653
47,2.3288777781440833
48,2.34448499549019
49,2.3551095804799167
50,2.3717796885823406
51,2.38182339068753
52,2.3931634330147595
53,2.407546985806485
54,2.420018219825333
55,2.4313728303962
56,2.4470537921494384
57,2.460138422013154
58,2.4718515069274902
59,2.4844389071501367
60,2.4995290580465506
61,2.5113179775166445
62,2.5253314275168357
63,2.5405990093848496
64,2.553120064783275
65,2.5692943393690535
66,2.578424502867362
67,2.590922483023243
68,2.6045080248627652
69,2.612519631997765
70,2.6237349119504336
71,2.6304776130197074
72,2.640694680553145
73,2.6494098972518167
74,2.6564555760477395
75,2.664129962639141
76,2.673609269036112
77,2.6808475512443795
78,2.6891831123714933
79,2.6971389318063577
80,2.703689098099987
